sp_us,minion_w,sram_w,noc_w,board_w
53577458431,11.157,2.061,3.733,32.13
53577592831,11.155,2.062,3.735,32.13
53577726031,11.160,2.062,3.735,32.13
53577859231,11.161,2.062,3.733,32.13
53577994031,11.164,2.060,3.732,32.13
53578127631,11.158,2.059,3.734,32.13
53578260831,11.166,2.061,3.734,32.13
53578395631,11.170,2.063,3.732,32.13
53578528831,11.165,2.062,3.731,32.12
53578662031,11.164,2.063,3.729,32.12
53578796831,11.159,2.064,3.731,32.12
53578930031,11.165,2.063,3.735,32.12
53579063231,11.158,2.063,3.734,32.12
53579197631,11.155,2.064,3.733,32.12
53579330831,11.159,2.064,3.736,32.12
53579464031,11.159,2.062,3.734,32.12
53579598831,11.154,2.061,3.731,32.12
53579732031,11.148,2.062,3.730,32.12
53579865631,11.144,2.062,3.730,32.11
53580000431,11.139,2.062,3.731,32.11
53580133631,11.133,2.063,3.735,32.11
53580266831,11.134,2.062,3.733,32.11
53580401631,11.130,2.062,3.735,32.11
53580534831,11.126,2.062,3.733,32.11
53580668031,11.134,2.060,3.735,32.11
53580802431,11.135,2.059,3.732,32.11
53580936031,11.133,2.058,3.730,32.11
53581069231,11.135,2.058,3.729,32.11
53581203631,11.139,2.059,3.728,32.11
53581336831,11.140,2.059,3.731,32.11
53581470031,11.135,2.058,3.728,32.11
53581604431,11.138,2.057,3.730,32.11
53581737631,11.133,2.057,3.729,32.11
53581870831,11.135,2.057,3.732,32.11
53582005231,11.136,2.057,3.733,32.11
53582138431,11.143,2.059,3.732,32.11
53582271631,11.150,2.059,3.732,32.11
53582406031,11.150,2.058,3.732,32.11
53582539631,11.146,2.058,3.737,32.11
53582672831,11.143,2.059,3.738,32.11
53582807231,11.150,2.059,3.739,32.11
53582940431,11.144,2.059,3.737,32.11
53583073631,11.143,2.058,3.737,32.10
53583208431,11.147,2.058,3.734,32.10
53583342031,11.148,2.058,3.729,32.10
53583475231,11.144,2.057,3.730,32.10
53583610031,11.138,2.058,3.732,32.10
53583743231,11.142,2.060,3.732,32.10
53583876431,11.146,2.061,3.729,32.10
53584011231,11.146,2.062,3.734,32.10
53584144831,11.146,2.062,3.734,32.10
53584278031,11.150,2.063,3.734,32.10
53584412831,11.145,2.062,3.735,32.09
53584546031,11.137,2.061,3.731,32.09
53584679231,11.139,2.061,3.732,32.09
53584814031,11.136,2.062,3.731,32.09
53584947631,11.131,2.062,3.729,32.09
53585080831,11.129,2.062,3.730,32.09
53585215631,11.131,2.063,3.730,32.09
53585348831,11.128,2.063,3.729,32.09
53585482031,11.125,2.062,3.730,32.09
53585616431,11.126,2.063,3.730,32.09
53585750032,11.124,2.062,3.727,32.09
53585883231,11.122,2.062,3.726,32.09
53586018031,11.121,2.063,3.727,32.09
53586151631,11.122,2.062,3.725,32.09
53586284831,11.121,2.062,3.728,32.09
53586419631,11.123,2.060,3.725,32.09
53586553231,11.130,2.059,3.725,32.09
53586686431,11.128,2.059,3.722,32.09
53586821231,11.130,2.057,3.725,32.09
